,Inns,NO,Runs,High,Ave,100,50,Rank,HighNO,StartYear,EndYear,Team,Batsman1,Batsman1ID,Batsman2,Batsman2ID
0,293,13,13368,624,47.74,36,62,1,False,2000,2015,Asia/SL,DPMD Jayawardene,49289,KC Sangakkara,50710
1,247,6,12400,281,51.45,38,45,2,False,1992,2008,INDIA,SC Ganguly,28779,SR Tendulkar,35320
2,251,15,11688,298,49.52,31,51,3,False,1978,1991,WI,CG Greenidge,51901,DL Haynes,52047
3,241,11,11037,331,47.98,31,43,4,False,1996,2012,INDIA,R Dravid,28114,SR Tendulkar,35320
4,266,12,9995,335,39.35,23,50,5,False,1996,2007,SL,MS Atapattu,48124,ST Jayasuriya,49209
5,152,12,8389,272,59.92,26,37,6,False,2001,2009,AUS,ML Hayden,5616,RT Ponting,7133
6,172,8,8103,225,49.4,27,30,7,False,2000,2015,SL,TM Dilshan,48472,KC Sangakkara,50710
7,152,12,7669,265,54.77,23,35,8,False,2010,2020,NZ,LRPL Taylor,38699,KS Williamson,277906
8,156,7,7657,318,51.38,21,30,9,False,1996,2008,Asia/INDIA,R Dravid,28114,SC Ganguly,28779
9,180,13,7558,297,45.25,20,37,10,False,1983,1994,WI,DL Haynes,52047,RB Richardson,52810
10,153,4,7199,233,48.31,17,36,11,False,2003,2013,INDIA,G Gambhir,28763,V Sehwag,35263
11,164,4,7138,368,44.61,19,29,12,False,2002,2010,SA,HH Gibbs,45224,GC Smith,47270
12,156,11,7095,259,48.93,18,35,13,False,1998,2007,PAK,Inzamam-ul-Haq,40570,Mohammad Yousuf,43650
13,165,1,6638,210,40.47,20,21,14,False,2011,2020,INDIA,S Dhawan,28235,RG Sharma,34102
14,162,7,6614,189,42.67,19,29,15,True,1984,2000,SL,PA de Silva,48462,A Ranatunga,50244
15,119,6,6578,246,58.21,24,21,16,False,2010,2020,INDIA,V Kohli,253802,RG Sharma,34102
16,137,4,6451,233,48.5,20,31,17,False,2000,2008,AUS,AC Gilchrist,5390,ML Hayden,5616
17,151,4,6307,217,42.9,14,38,18,False,1985,1992,AUS,DC Boon,4169,GR Marsh,6499
18,113,4,6274,308,57.55,20,23,19,False,2005,2018,SA,HM Amla,43906,AB de Villiers,44936
19,123,4,6145,255,51.63,14,29,20,False,1994,2007,AUS,ML Hayden,5616,JL Langer,6256
20,169,5,6112,359,37.26,11,37,21,False,2006,2019,BDESH,Mushfiqur Rahim,56029,Shakib Al Hasan,56143
21,110,4,6087,363,57.42,18,24,22,False,2000,2010,PAK,Mohammad Yousuf,43650,Younis Khan,43652
22,138,2,5964,336,43.85,17,23,23,False,2001,2012,INDIA,V Sehwag,35263,SR Tendulkar,35320
23,120,7,5899,222,52.2,17,24,24,False,1989,2000,INDIA,M Azharuddin,26329,SR Tendulkar,35320
24,131,5,5855,256,46.46,17,23,25,False,1996,2003,SA,HH Gibbs,45224,G Kirsten,45813
25,115,8,5824,249,54.42,14,30,26,False,1996,2004,SA,JH Kallis,45789,G Kirsten,45813
26,177,3,5802,193,33.34,11,32,27,False,1995,2007,NZ,NJ Astle,36185,SP Fleming,37000
27,119,10,5755,334,52.79,16,23,28,True,2005,2013,AUS,MJ Clarke,4578,MEK Hussey,5939
28,117,3,5680,259,49.82,12,30,29,False,2006,2014,SA,HM Amla,43906,GC Smith,47270
29,123,5,5589,315,47.36,14,25,30,True,1997,2010,SA,HH Gibbs,45224,JH Kallis,45789
30,150,6,5462,179,37.93,12,28,31,False,1999,2015,SL,TM Dilshan,48472,DPMD Jayawardene,49289
31,119,7,5455,226,48.7,12,28,32,False,1998,2007,SL,MS Atapattu,48124,DPMD Jayawardene,49289
32,127,8,5339,231,44.86,14,24,33,False,1988,2002,AUS,ME Waugh,8189,SR Waugh,8192
33,118,7,5314,376,47.87,16,20,34,False,1996,2012,INDIA,R Dravid,28114,VVS Laxman,30750
34,132,2,5253,229,40.4,14,21,35,False,2006,2012,ENG,AN Cook,11728,AJ Strauss,20387
35,94,5,5221,365,58.66,16,24,36,False,2011,2020,INDIA,V Kohli,253802,AM Rahane,277916
36,125,3,5218,282,42.77,13,20,37,True,2013,2019,SA,HM Amla,43906,Q de Kock,379143
37,97,6,5200,256,57.14,18,14,38,False,2004,2013,SA,AB de Villiers,44936,JH Kallis,45789
38,124,7,5197,339,44.41,14,22,39,False,2009,2016,NZ,MJ Guptill,226492,BB McCullum,37737
39,97,5,5165,377,56.14,15,16,40,True,2004,2014,SA,HM Amla,43906,JH Kallis,45789
40,125,4,5148,173,42.54,9,32,41,False,1990,2000,PAK,Aamer Sohail,38967,Saeed Anwar,42605
41,116,4,5097,269,45.5,15,21,42,False,1992,2003,ZIM,A Flower,55427,GW Flower,55429
42,95,5,5092,386,56.57,16,18,43,False,2003,2012,AUS,MJ Clarke,4578,RT Ponting,7133
43,107,4,5088,438,49.39,13,24,44,False,2000,2007,SL,MS Atapattu,48124,KC Sangakkara,50710
44,93,10,4957,218,59.72,20,17,45,False,2001,2017,PAK,Misbah-ul-Haq,41378,Younis Khan,43652
45,117,3,4917,173,43.13,11,29,46,False,2010,2020,NZ,MJ Guptill,226492,KS Williamson,277906
46,106,2,4900,260,47.11,12,23,47,False,1993,1999,AUS,MJ Slater,7629,MA Taylor,7924
47,92,2,4833,410,53.7,13,20,48,False,2001,2012,ICC/INDIA,R Dravid,28114,V Sehwag,35263
48,114,5,4818,207,44.2,8,32,49,False,2002,2013,SA,JH Kallis,45789,GC Smith,47270
49,94,5,4739,242,53.24,12,24,50,False,1998,2006,AUS,DR Martyn,6513,RT Ponting,7133
