,Inns,NO,Runs,High,Ave,100,50,Rank,HighNO,StartYear,EndYear,Team,Batsman1,Batsman1ID,Batsman2,Batsman2ID
0,52,0,1743,160,33.51,4,7,1,False,2013,2019,INDIA,S Dhawan,28235,RG Sharma,34102
1,34,0,1348,200,39.64,2,10,2,False,2015,2019,SCOT,KJ Coetzer,25446,HG Munsey,671805
2,35,0,1202,154,34.34,3,5,3,False,2010,2020,IRE,KJ O'Brien,24605,PR Stirling,303427
3,37,0,1154,133,31.18,3,6,4,False,2009,2016,AUS,DA Warner,219889,SR Watson,8180
4,24,1,1151,171,50.04,3,8,5,True,2012,2018,NZ,MJ Guptill,226492,KS Williamson,277906
5,29,1,1083,136,38.67,3,4,6,False,2012,2020,NZ,MJ Guptill,226492,C Munro,232359
6,40,3,1065,109,28.78,1,6,7,True,2009,2018,IRE,WTS Porterfield,24611,PR Stirling,303427
7,18,1,1019,165,59.94,3,5,8,False,2016,2020,INDIA,KL Rahul,422108,RG Sharma,34102
8,26,2,924,122,38.5,3,2,9,False,2012,2020,AUS,AJ Finch,5334,DA Warner,219889
9,30,3,882,127,32.66,1,5,10,False,2012,2019,SCOT,RD Berrington,25490,CS MacLeod,232435
10,22,0,843,138,38.31,3,3,11,False,2010,2019,INDIA,V Kohli,253802,RG Sharma,34102
11,22,2,831,127,41.55,2,4,12,True,2009,2015,NZ,MJ Guptill,226492,BB McCullum,37737
12,22,2,822,166,41.1,2,3,13,False,2007,2014,SL,DPMD Jayawardene,49289,KC Sangakkara,50710
13,24,2,797,114,36.22,1,5,14,True,2009,2016,PAK,Shoaib Malik,42657,Umar Akmal,317273
14,31,2,766,145,26.41,1,3,15,False,2007,2014,SL,TM Dilshan,48472,DPMD Jayawardene,49289
15,21,1,741,143,37.05,1,3,16,True,2010,2016,PAK,Ahmed Shehzad,259410,Mohammad Hafeez,41434
16,22,9,740,70,56.92,0,6,17,True,2010,2019,SA,JP Duminy,44932,DA Miller,321777
17,22,5,737,107,43.35,1,5,18,False,2013,2019,AFG,Mohammad Nabi,25913,Najibullah Zadran,524049
18,23,4,730,102,38.42,1,5,19,True,2007,2017,INDIA,MS Dhoni,28081,Yuvraj Singh,36084
19,20,0,712,144,35.6,2,3,20,False,2018,2019,NL,BN Cooper,470699,MP O'Dowd,643197
20,18,1,705,143,41.47,2,3,21,True,2012,2014,ENG,AD Hales,249866,MJ Lumb,16406
21,21,2,703,134,37.0,1,5,22,False,2011,2018,INDIA,V Kohli,253802,SK Raina,33335
22,14,0,687,110,49.07,1,5,23,False,2013,2018,AFG,Asghar Afghan,320652,Mohammad Shahzad,419873
23,26,1,679,80,27.16,0,5,24,False,2015,2020,NZ,C Munro,232359,KS Williamson,277906
24,23,1,652,88,29.63,0,5,25,False,2015,2020,IRE,A Balbirnie,303423,PR Stirling,303427
25,12,1,650,170,59.09,2,2,26,False,2006,2010,SA,LE Bosman,44098,GC Smith,47270
26,22,1,626,74,29.8,0,5,27,False,2006,2014,SL,TM Dilshan,48472,KC Sangakkara,50710
27,15,1,615,100,43.92,1,3,28,False,2017,2020,INDIA,V Kohli,253802,KL Rahul,422108
28,13,0,609,97,46.84,0,5,29,False,2005,2010,SA,JH Kallis,45789,GC Smith,47270
29,28,1,608,66,22.51,0,2,30,False,2009,2016,PAK,Shahid Afridi,42639,Umar Akmal,317273
30,22,0,606,100,27.54,1,2,31,False,2013,2016,SL,TM Dilshan,48472,MDKJ Perera,300631
31,15,1,602,68,43.0,0,6,32,False,2012,2016,INDIA,V Kohli,253802,Yuvraj Singh,36084
32,19,0,601,101,31.63,1,5,33,False,2010,2016,ZIM,H Masakadza,55608,V Sibanda,55787
33,25,2,595,76,25.86,0,2,34,False,2007,2017,SA,AB de Villiers,44936,JP Duminy,44932
34,21,2,593,84,31.21,0,5,35,False,2007,2019,BDESH,Mahmudullah,56025,Mushfiqur Rahim,56029
35,19,0,585,96,30.78,0,4,36,False,2013,2018,SA,HM Amla,43906,Q de Kock,379143
36,18,0,576,152,32.0,1,2,37,False,2007,2016,WI,CH Gayle,51880,MN Samuels,52983
37,28,0,574,74,20.5,0,3,38,False,2007,2019,ZIM,H Masakadza,55608,BRM Taylor,55814
38,17,3,564,83,40.28,0,4,39,True,2012,2020,SA,Q de Kock,379143,F du Plessis,44828
39,27,0,564,112,20.88,1,2,40,False,2006,2019,BDESH,Mushfiqur Rahim,56029,Shakib Al Hasan,56143
40,23,0,563,98,24.47,0,4,41,False,2010,2019,AFG,Mohammad Nabi,25913,Samiullah Shinwari,318339
41,22,0,559,78,25.4,0,4,42,False,2006,2014,NZ,BB McCullum,37737,LRPL Taylor,38699
42,20,4,558,114,34.87,1,2,43,True,2012,2018,ENG,JC Buttler,308967,EJG Morgan,24598
43,15,1,558,223,39.85,1,2,44,False,2018,2019,AUS,AJ Finch,5334,DJM Short,308798
44,17,0,550,130,32.35,1,3,45,False,2008,2014,NZ,BB McCullum,37737,JD Ryder,38373
45,21,1,549,60,27.45,0,2,46,False,2009,2017,INDIA,MS Dhoni,28081,SK Raina,33335
46,17,0,545,136,32.05,1,2,47,False,2007,2012,INDIA,G Gambhir,28763,V Sehwag,35263
47,15,0,537,97,35.8,0,4,48,False,2012,2015,WI,CH Gayle,51880,DR Smith,53118
48,16,1,535,125,35.66,1,3,49,False,2015,2019,PNG,TP Ura,302845,A Vala,25056
49,20,2,534,91,29.66,0,5,50,False,2010,2017,AFG,Mohammad Shahzad,419873,Nawroz Mangal,318334
