,Inns,NO,Runs,High,Ave,100,50,HighNO,StartYear,EndYear,Team,Batsman1,Batsman1ID,Batsman2,Batsman2ID
0,143,6,6920,249,50.51,20,29,False,1996,2012,INDIA,R Dravid,28114,SR Tendulkar,35320
1,120,4,6554,624,56.5,19,27,False,2000,2014,SL,DPMD Jayawardene,49289,KC Sangakkara,50710
2,148,11,6482,298,47.31,16,26,False,1978,1991,WI,CG Greenidge,51901,DL Haynes,52047
3,122,4,6081,255,51.53,14,28,False,1997,2007,AUS,ML Hayden,5616,JL Langer,6256
4,132,2,5253,229,40.4,14,21,False,2006,2012,ENG,AN Cook,11728,AJ Strauss,20387
5,76,5,4765,272,67.11,16,22,False,2001,2009,AUS,ML Hayden,5616,RT Ponting,7133
6,122,7,4533,335,39.41,9,24,False,1997,2007,SL,MS Atapattu,48124,ST Jayasuriya,49209
7,87,3,4412,233,52.52,11,25,False,2004,2012,INDIA,G Gambhir,28763,V Sehwag,35263
8,71,3,4173,281,61.36,12,16,False,1996,2008,INDIA,SC Ganguly,28779,SR Tendulkar,35320
9,86,7,4065,376,51.45,12,14,False,1996,2012,INDIA,R Dravid,28114,VVS Laxman,30750
10,67,3,3923,377,61.29,11,10,True,2004,2013,SA,HM Amla,43906,JH Kallis,45789
11,78,2,3887,260,51.14,10,16,False,1993,1999,AUS,MJ Slater,7629,MA Taylor,7924
12,89,3,3687,226,42.87,9,20,False,1990,2000,ENG,MA Atherton,8579,AJ Stewart,20372
13,65,1,3658,259,57.15,10,12,False,2006,2014,SA,HM Amla,43906,GC Smith,47270
14,77,7,3650,297,52.14,11,16,False,1983,1994,WI,DL Haynes,52047,RB Richardson,52810
15,64,3,3600,382,59.01,9,18,False,1961,1968,AUS,WM Lawry,6270,RB Simpson,7619
16,64,6,3592,249,61.93,9,17,False,1997,2004,SA,JH Kallis,45789,G Kirsten,45813
17,85,4,3583,221,44.23,8,20,False,1989,1996,AUS,DC Boon,4169,MA Taylor,7924
18,58,3,3558,206,64.69,13,15,False,2006,2013,ENG,AN Cook,11728,KP Pietersen,19296
19,69,9,3533,265,58.88,9,17,False,2011,2020,NZ,LRPL Taylor,38699,KS Williamson,277906
20,72,3,3529,255,51.14,10,19,False,2000,2005,ENG,ME Trescothick,21585,MP Vaughan,22182
21,73,4,3523,353,51.05,9,19,False,1996,2012,INDIA,VVS Laxman,30750,SR Tendulkar,35320
22,48,6,3451,327,82.16,14,12,False,1998,2006,AUS,JL Langer,6256,RT Ponting,7133
23,73,3,3435,231,49.07,9,19,False,1991,2002,AUS,ME Waugh,8189,SR Waugh,8192
24,60,2,3405,410,58.7,10,11,False,2002,2012,ICC/INDIA,R Dravid,28114,V Sehwag,35263
25,64,3,3372,334,55.27,9,13,True,2005,2013,AUS,MJ Clarke,4578,MEK Hussey,5939
26,39,1,3339,283,87.86,15,11,False,1924,1930,ENG,JB Hobbs,14225,H Sutcliffe,20413
27,68,6,3294,194,53.12,10,12,True,1996,2008,INDIA,R Dravid,28114,SC Ganguly,28779
28,68,3,3274,368,50.36,7,13,False,2002,2008,SA,HH Gibbs,45224,GC Smith,47270
29,67,2,3272,344,50.33,10,12,True,1976,1987,INDIA,SM Gavaskar,28794,DB Vengsarkar,35654
30,53,2,3271,365,64.13,10,14,False,2013,2020,INDIA,V Kohli,253802,AM Rahane,277916
31,55,2,3247,437,61.26,11,9,False,2003,2013,SL,DPMD Jayawardene,49289,TT Samaraweera,50424
32,53,6,3213,218,68.36,15,7,False,2001,2017,PAK,Misbah-ul-Haq,41378,Younis Khan,43652
33,58,0,3198,232,55.13,12,8,False,2000,2006,WI,BC Lara,52337,RR Sarwan,52969
34,42,2,3137,363,78.42,9,12,False,2000,2009,PAK,Mohammad Yousuf,43650,Younis Khan,43652
35,60,3,3127,213,54.85,11,10,False,1973,1981,INDIA,CPS Chauhan,27619,SM Gavaskar,28794
36,44,3,3108,256,75.8,13,7,False,2004,2013,SA,AB de Villiers,44936,JH Kallis,45789
37,57,0,3048,263,53.47,9,12,False,1989,1995,ENG,MA Atherton,8579,GA Gooch,13399
38,57,1,3028,350,54.07,10,8,False,2005,2014,ENG,IR Bell,9062,KP Pietersen,19296
39,57,4,3013,259,56.84,10,13,False,1998,2007,PAK,Inzamam-ul-Haq,40570,Mohammad Yousuf,43650
40,63,0,2949,256,46.8,8,11,False,1996,2003,SA,HH Gibbs,45224,G Kirsten,45813
41,53,3,2900,359,58.0,8,13,False,1937,1951,ENG,L Hutton,14334,C Washbrook,22322
42,62,1,2894,226,47.44,7,14,False,2012,2020,INDIA,V Kohli,253802,CA Pujara,32540
43,45,0,2813,370,62.51,10,9,False,2010,2018,INDIA,CA Pujara,32540,M Vijay,237095
44,57,4,2812,189,53.05,11,11,True,1985,2000,SL,PA de Silva,48462,A Ranatunga,50244
45,51,2,2711,329,55.32,10,6,True,2009,2015,ENG,AN Cook,11728,IJL Trott,47623
46,52,1,2670,273,52.35,8,12,False,2004,2006,ENG,AJ Strauss,20387,ME Trescothick,21585
47,45,1,2642,310,60.04,9,10,False,2005,2010,ENG,PD Collingwood,10772,KP Pietersen,19296
48,52,1,2632,308,51.6,7,13,False,2005,2018,SA,HM Amla,43906,AB de Villiers,44936
49,48,0,2628,250,54.75,8,9,False,2010,2017,PAK,Azhar Ali,39037,Younis Khan,43652
